latitude,longitude,price,beds
37.20229,-79.97444,224888,
37.250927,-79.99412,239950,
37.132236,-80.40999,149900,
37.28305,-79.95978,109950,
37.17073,-80.24955,190000,
37.25675,-79.91237,134950,
37.3123,-79.93726,179950,
37.242958,-79.98623,249900,
37.30206,-79.9461,214950,
37.30069,-79.936485,160000,
37.275826,-79.9641,59950,
37.300953,-79.93664,183259,
37.321533,-80.63527,160000,
37.111305,-80.59128,170000,
37.118324,-80.69778,249900,
37.105644,-80.50211,79900,
37.32213,-79.94961,219950,
37.315502,-79.944305,229950,
37.315292,-79.938255,199900,
37.293118,-79.91204,158500,
37.258385,-79.92701,107000,
37.370132,-80.087326,214900,
37.10956,-79.95226,74999,
37.2917,-79.946655,159950,
37.125008,-80.5719,229900,
37.22672,-79.99161,230000,4.0
37.27511,-80.063995,219950,2.0
37.29,-80.003685,119950,3.0
37.292645,-79.93312,169950,4.0
37.26995,-79.97414,199950,3.0
37.32334,-79.92238,234950,3.0
37.195496,-80.10812,249000,3.0
37.25681,-79.9082,170000,3.0
37.275436,-80.05197,149000,3.0
37.27001,-79.91449,174950,3.0
37.334457,-79.98334,189000,3.0
37.28948,-79.95917,129950,3.0
37.347782,-79.937874,224000,2.0
37.294674,-79.94598,159950,3.0
37.276497,-79.995605,184000,5.0
37.259,-79.92997,164900,3.0
37.28976,-79.9174,174950,3.0
37.320904,-79.92021,229900,4.0
37.127674,-80.50027,194900,3.0
37.13461,-80.40391,194900,3.0
37.05859,-80.63181,165000,3.0
37.22024,-79.958885,169950,3.0
37.27839,-79.999306,164950,3.0
37.28459,-79.94143,125000,3.0
37.137875,-80.5631,199900,4.0
37.09782,-80.23849,170000,3.0
37.231857,-79.92676,189900,3.0
37.236416,-80.207245,160000,4.0
37.169704,-80.50118,249000,3.0
37.341457,-79.98085,195000,2.0
37.328,-79.93793,215000,3.0
37.4099,-79.92187,240000,3.0
37.13059,-80.41853,159000,2.0
37.32751,-79.93534,200000,3.0
37.300865,-79.92681,150000,2.0
37.276016,-79.96346,131000,3.0
37.285133,-80.00185,224950,4.0
37.09806,-80.68384,249900,3.0
37.257957,-79.90967,198000,3.0
37.298885,-79.974846,175000,3.0
37.316067,-79.94834,244950,4.0
37.144573,-80.42204,219900,2.0
37.297096,-80.015625,184950,3.0
37.20554,-80.45655,189950,2.0
37.300674,-80.02934,200000,2.0
37.292282,-80.11273,189950,3.0
37.312714,-80.01955,208000,3.0
